province,id,type,price,rooms,latitude,longitude,postal_code
Girona,106782837,Piso,890,1,"41,966042","2,8139428",17003
Girona,104600970,Chalet,3500,4,"41,8157141","3,017439",17246
Girona,94178188,Piso,1350,2,"41,8091122","3,0665631",17248
Girona,101446392,Piso,1500,2,"41,81837","3,0706872",17248
Girona,102031229,Piso,1100,1,"41,819014","3,0707466",17248
Girona,105200932,Chalet,1600,4,"42,1480495","2,7745136",17833
Girona,102846820,Piso,1500,2,"41,8453187","3,1046715",17251
Girona,106806212,Chalet,1700,3,"41,7874007","3,045723",17220
Girona,106805794,Duplex,2100,2,"42,4282648","1,9270793",17520
Girona,91932273,Estudio,550,0,"41,69784","2,83482",17310
Girona,101666256,Piso,995,1,"41,8077168","3,0658124",17248
Girona,101905019,Piso,1500,3,"41,8177356","3,0675027",17248
Girona,106530838,Chalet,1800,4,"41,715494","2,8333805",17310
Girona,106159783,Piso,1100,2,"42,3578418","3,16846",17490
Girona,105221964,Piso,900,2,"41,6971443","2,8273807",17310
Girona,105510880,Piso,1400,1,"42,049104","3,1941247",17130
Girona,106398919,Chalet,1650,6,"41,7396746","2,8173073",17310
Girona,106219096,Chalet,2500,8,"41,9542243","2,8430343",17241
Girona,106866590,Chalet,9200,3,"42,3731351","1,8835492",17538
Girona,105599413,Piso,2000,2,"41,7173873","2,9288848",17320
Girona,106281500,Chalet,1250,1,"42,0142826","2,8443613",17007
Girona,104869924,Piso,1500,3,"41,8159097","3,068858",17248
Girona,98007297,Piso,1150,2,"41,8238777","3,0737557",17248
Girona,101825489,Ático,4500,2,"41,8016506","3,0521614",17248
Girona,106594761,Chalet,25000,5,"41,8517062","2,757024",17410
Girona,88836577,Casa Rural,3000,3,"41,8870158","3,187716",17210
Girona,103217739,Piso,2000,3,"41,7218259","2,9343737",17320
Girona,106189862,Chalet,1200,2,"42,2007072","2,6986573",17850
Girona,106928749,Piso,1000,2,"42,2663516","2,9594099",17600
Girona,96400270,Chalet,2500,4,"41,9174199","3,2077115",17212
Girona,106396576,Duplex,1350,1,"42,0142965","3,140812",17257
Girona,101775895,Piso,5000,3,"41,8087174","3,0567392",17248
Girona,106148702,Piso,1250,3,"41,6938692","2,8223063",17310
Girona,101825489,Ático,4500,2,"41,8016506","3,0521614",17248
Girona,106571715,Ático,780,2,"42,3399797","1,9518313",17538
Girona,101536135,Chalet,30000,4,"41,7907326","3,0563061",17248
Girona,103217739,Piso,2000,3,"41,7218259","2,9343737",17320
Girona,98007297,Piso,1150,2,"41,8238777","3,0737557",17248
Girona,102570962,Piso,650,1,"42,1158406","3,1340549",17130
Girona,106879028,Duplex,1310,3,"41,9805212","2,8239418",17002
Girona,106346259,Piso,1300,4,"41,9753297","2,8260311",17004
Girona,88836577,Casa Rural,3000,3,"41,8870158","3,187716",17210
Girona,96060931,Piso,950,2,"42,12676","3,1373937",17130
Girona,106559384,Piso,950,2,"41,9849067","3,1972884",17255
Girona,105910080,Chalet,1500,3,"41,795208","3,053322",17248
Girona,106777868,Piso,1500,5,"41,9827688","2,8217967",17001
Girona,97353489,Piso,3300,2,"41,9607887","3,2282965",17213
Girona,105909172,Piso,1500,4,"41,7943124","3,0532343",17248
Girona,106520364,Piso,2000,3,"41,8214395","3,0644406",17248
Girona,97635026,Piso,2000,3,"41,7988664","3,0480124",17248
Girona,106267125,Piso,2400,3,"41,9785435","2,8228654",17002
Girona,106165001,Ático,1500,3,"41,9827749","2,8176774",17005
Girona,106595351,Chalet,1600,4,"41,9885113","3,0168806",17121
Girona,105227029,Piso,5100,3,"41,7830489","3,0390544",17220
Girona,99134590,Chalet,1800,3,"41,7440903","2,8171882",17310
Girona,106502262,Piso,900,2,"41,6958996","2,8259468",17310
Girona,106310256,Chalet,900,3,"41,852663","3,1256947",17230
Girona,106084028,Chalet,4500,5,"41,9954008","2,8265554",17007
Girona,106301031,Piso,900,2,"41,7828907","3,0313031",17220
Girona,106624899,Piso,1350,3,"41,6773396","2,7878336",17300
Girona,106084023,Chalet,4500,5,"41,9972027","2,8302625",17007
Girona,106795076,Piso,1300,3,"41,8217395","3,0684344",17248
Girona,106639842,Chalet,8000,4,"41,7895239","3,0570328",17248
Girona,105227015,Piso,6555,3,"41,7825906","3,0306178",17220
Girona,106851141,Piso,800,1,"41,6955266","2,8255361",17310
Girona,105303806,Piso,3000,2,"41,9767225","2,8232064",17002
Girona,105381013,Chalet,1500,2,"42,3204202","3,1847033",17489
Girona,106809691,Piso,1400,1,"41,979187","3,1954588",17255
Girona,106795076,Piso,1300,3,"41,8217395","3,0684344",17248
Girona,106809691,Piso,1400,1,"41,979187","3,1954588",17255
Girona,105381013,Chalet,1500,2,"42,3204202","3,1847033",17489
Girona,102161839,Piso,2000,4,"41,9752711","2,8161266",17002
Girona,105787500,Piso,3800,2,"41,7933742","3,0468186",17248
Girona,105227030,Piso,3800,2,"41,7942949","3,0489781",17248
Girona,106015498,Piso,750,2,"42,3571165","3,1665366",17490
